GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,AbstractDocumentPageModContentFactoryImpl,6,0,0,0,3,0,2,0,2,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,SearchDocumentPageModContentFactoryImpl,108,0,0,0,27,0,3,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentPageVisitHistoryPageModContentFactoryImpl,66,0,8,0,16,0,7,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentOverviewPageModContentFactoryImpl,267,0,12,0,34,0,9,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentDataPageModContentFactoryImpl,201,0,14,0,46,0,11,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentDecisionPageModContentFactoryImpl,141,0,14,0,25,0,10,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,SearchDocumentPageModContentFactoryImpl.new SearchDocumentResponseHandler() {...},123,0,0,0,6,0,2,0,2,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentPersonReferencesPageModContentFactoryImpl,140,0,14,0,27,0,10,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentDetailsPageModContentFactoryImpl,124,0,14,0,25,0,10,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentActivityPageModContentFactoryImpl,136,0,14,0,26,0,10,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentAttachementsPageModContentFactoryImpl,167,0,16,0,33,0,11,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.document.pagemode,DocumentReferencesPageModContentFactoryImpl,124,0,14,0,27,0,10,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AdminApplicationEventsChartsPageModContentFactoryImpl,47,0,6,0,10,0,6,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AdminApplicationEventsPageModContentFactoryImpl,221,0,12,0,20,0,9,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AdminApplicationSessionPageModContentFactoryImpl,324,0,6,0,32,0,6,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AdminLanguageContentPageModContentFactoryImpl,162,0,6,0,21,0,6,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AdminApplicationConfigurationPageModContentFactoryImpl,313,0,6,0,46,0,6,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AdminCountryPageModContentFactoryImpl,191,0,6,0,22,0,6,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AdminMonitoringPageModContentFactoryImpl,47,0,0,0,12,0,3,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AbstractAdminSystemPageModContentFactoryImpl,140,0,14,0,34,0,10,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AdminUserAccountPageModContentFactoryImpl,206,0,6,0,22,0,6,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AdminPortalPageModContentFactoryImpl,158,0,6,0,20,0,6,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,EmailPageModContentFactoryImpl,112,0,0,0,27,0,3,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AdminAgencyPageModContentFactoryImpl,252,0,6,0,34,0,6,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.system.pagemode,AdminLanguagePageModContentFactoryImpl,150,0,6,0,21,0,6,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.gridfactory.impl,GridFactoryImpl,178,0,22,0,42,0,19,0,8,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.agentoperations.pagemode,AbstractAgentOperationsPageModContentFactoryImpl,3,0,0,0,2,0,1,0,1,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.agentoperations.pagemode,AgentOperationsOverviewPageModContentFactoryImpl,110,0,0,0,25,0,3,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.user.parliament,ParliamentRankingView,7,0,0,0,2,0,1,0,1,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.formfactory.impl,FormFactoryImpl,191,0,10,0,47,0,9,0,4,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application,UiInstanceErrorHandler,67,0,8,0,18,0,7,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application,CitizenIntelligenceAgencyUI,140,0,2,0,26,0,4,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application,VaadinSpringConfig,3,0,0,0,1,0,1,0,1,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application,CitizenIntelligenceAgencySpringVaadinServlet,3,0,0,0,1,0,1,0,1,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.admin.common,AbstractAdminView,5,0,0,0,2,0,1,0,1,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.tablefactory,TableFactoryImpl,212,0,2,0,25,0,4,0,3,0
cia-dist-deb/citizen-intelligence-agency,com.hack23.cia.web.impl.ui.application.views.common.dataseriesfactory.impl,PartyDataSeriesFactoryImpl,245,0,22,0,51,0,18,0,7,0
