GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.external.riksdagen.dokumentlista.impl,com.hack23.cia.model.external.riksdagen.dokumentlista.impl,DocumentContainerElement_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.dokumentlista.impl,com.hack23.cia.model.external.riksdagen.dokumentlista.impl,DocumentType,37,356,4,0,4,36,5,3,3,3
model.external.riksdagen.dokumentlista.impl,com.hack23.cia.model.external.riksdagen.dokumentlista.impl,DocumentElement,1249,622,70,0,273,165,72,67,37,67
model.external.riksdagen.dokumentlista.impl,com.hack23.cia.model.external.riksdagen.dokumentlista.impl,RoundtripTest,0,7,0,0,0,3,0,3,0,3
model.external.riksdagen.dokumentlista.impl,com.hack23.cia.model.external.riksdagen.dokumentlista.impl,DocumentSubType,129,0,4,0,16,0,8,0,6,0
model.external.riksdagen.dokumentlista.impl,com.hack23.cia.model.external.riksdagen.dokumentlista.impl,DocumentContainerElement,479,357,32,22,108,82,45,30,20,28
model.external.riksdagen.dokumentlista.impl,com.hack23.cia.model.external.riksdagen.dokumentlista.impl,DocumentElement_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.dokumentlista.impl,com.hack23.cia.model.external.riksdagen.dokumentlista.impl,ObjectFactory,26,0,0,0,6,0,5,0,5,0
model.external.riksdagen.dokumentlista.impl,org.w3._2001.xmlschema,Adapter3,3,6,0,0,1,2,1,2,1,2
model.external.riksdagen.dokumentlista.impl,org.w3._2001.xmlschema,Adapter1,9,0,0,0,3,0,3,0,3,0
model.external.riksdagen.dokumentlista.impl,org.w3._2001.xmlschema,Adapter2,9,0,0,0,3,0,3,0,3,0
