GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonContainerData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,AssignmentData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonContainerData,91,51,4,4,24,14,11,6,7,6
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonData,860,115,38,0,181,49,42,33,23,33
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonAssignmentData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,RoundtripTest,0,7,0,0,0,3,0,3,0,3
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,DetailData,213,97,14,0,49,28,16,13,9,13
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonAssignmentData,200,20,31,1,39,8,26,5,10,5
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,RoleStatus,624,0,4,0,61,0,8,0,6,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonDetailData,200,20,31,1,39,8,26,5,10,5
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonDetailData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,ObjectFactory,42,0,0,0,10,0,9,0,9,0
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,SexType,36,38,4,0,5,6,5,3,3,3
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,AssignmentData,398,192,24,0,89,53,26,23,14,23
model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,DetailData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.person.impl,org.w3._2001.xmlschema,Adapter3,3,6,0,0,1,2,1,2,1,2
model.external.riksdagen.person.impl,org.w3._2001.xmlschema,Adapter1,9,0,0,0,3,0,3,0,3,0
model.external.riksdagen.person.impl,org.w3._2001.xmlschema,Adapter2,9,0,0,0,3,0,3,0,3,0
