GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.external.riksdagen.utskottsforslag.impl,org.w3._2001.xmlschema,Adapter3,3,6,0,0,1,2,1,2,1,2
model.external.riksdagen.utskottsforslag.impl,org.w3._2001.xmlschema,Adapter1,9,0,0,0,3,0,3,0,3,0
model.external.riksdagen.utskottsforslag.impl,org.w3._2001.xmlschema,Adapter2,9,0,0,0,3,0,3,0,3,0
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,AgainstProposalData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,ObjectFactory,42,0,0,0,10,0,9,0,9,0
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,CommitteeDocumentData,1009,78,42,0,218,38,63,20,42,20
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,CommitteeProposalData,765,6,30,0,182,2,61,2,46,2
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,CommitteeDocumentData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,CommitteeProposalComponentData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,AgainstProposalContainer_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,CommitteeProposalComponentData,151,103,6,6,38,26,15,10,9,10
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,AgainstProposalData,360,6,16,0,88,2,31,2,23,2
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,AgainstProposalContainer,206,14,32,0,41,6,27,4,11,4
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,RoundtripTest,0,7,0,0,0,3,0,3,0,3
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,CommitteeProposalContainer,206,14,32,0,41,6,27,4,11,4
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,CommitteeProposalData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.utskottsforslag.impl,com.hack23.cia.model.external.riksdagen.utskottsforslag.impl,CommitteeProposalContainer_,3,0,0,0,1,0,1,0,1,0
