GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,RoundtripTest,0,7,0,0,0,3,0,3,0,3
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,VoteDataEmbeddedId,303,0,14,0,74,0,27,0,20,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,ObjectFactory,42,0,0,0,10,0,9,0,9,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,VoteDataEmbeddedId_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,VoteData,975,0,38,0,230,0,75,0,56,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,BallotDocumentData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,BallotContainer,121,77,5,5,31,20,13,8,8,8
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,SexType,74,0,4,0,11,0,8,0,6,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,VoteData_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,VoteDataDto,1143,0,44,0,269,0,87,0,65,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,VoteIssueType,36,38,4,0,5,6,5,3,3,3
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,BallotDocumentData,214,6,32,0,45,2,29,2,13,2
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,BallotType,36,27,4,0,5,5,5,3,3,3
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,VoteDataDto_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,VoteDecision,36,60,4,0,5,8,5,3,3,3
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,VoteDataDtoId,162,0,12,0,40,0,17,0,11,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,BallotDocumentElement,1479,0,56,0,347,0,111,0,83,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,BallotDocumentElement_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.votering.impl,com.hack23.cia.model.external.riksdagen.votering.impl,BallotContainer_,3,0,0,0,1,0,1,0,1,0
model.external.riksdagen.votering.impl,org.w3._2001.xmlschema,Adapter3,9,0,0,0,3,0,3,0,3,0
model.external.riksdagen.votering.impl,org.w3._2001.xmlschema,Adapter1,9,0,0,0,3,0,3,0,3,0
model.external.riksdagen.votering.impl,org.w3._2001.xmlschema,Adapter2,9,0,0,0,3,0,3,0,3,0
