GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,IncomeLevel,121,70,5,5,31,17,13,6,8,6
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,LendingType,121,70,5,5,31,17,13,6,8,6
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,LendingType_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountryElement_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountriesElement,265,179,26,14,59,40,32,15,13,14
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,ObjectFactory,27,0,0,0,8,0,7,0,7,0
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Region,121,70,5,5,31,17,13,6,8,6
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,RegionCategory,36,104,4,0,5,12,5,3,3,3
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,IncomeLevel_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,IncomeLevelCategory,36,93,4,0,5,11,5,3,3,3
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Adminregion,121,70,5,5,31,17,13,6,8,6
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,AdminRegionCategory,36,82,4,0,5,10,5,3,3,3
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Region_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,RoundtripTest,0,7,0,0,0,3,0,3,0,3
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,LendingTypeCategory,36,82,4,0,5,10,5,3,3,3
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountriesElement_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountryElement,361,285,13,13,87,68,29,24,16,24
model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Adminregion_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.countries.impl,org.w3._2001.xmlschema,Adapter3,9,0,0,0,3,0,3,0,3,0
model.external.worldbank.countries.impl,org.w3._2001.xmlschema,Adapter1,9,0,0,0,3,0,3,0,3,0
model.external.worldbank.countries.impl,org.w3._2001.xmlschema,Adapter2,9,0,0,0,3,0,3,0,3,0
