GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.api,com.hack23.cia.service.api.action.admin,UpdateApplicationConfigurationRequest,0,52,0,0,0,23,0,15,0,15
service.api,com.hack23.cia.service.api.action.admin,RefreshDataViewsRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.admin,UpdateLanguageContentDataRequest,0,24,0,0,0,11,0,7,0,7
service.api,com.hack23.cia.service.api.action.admin,UpdateLanguageContentDataResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.admin,RefreshDataViewsResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.admin,SendEmailResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.admin,UpdateSearchIndexRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.admin,SendEmailRequest,0,31,0,0,0,14,0,9,0,9
service.api,com.hack23.cia.service.api.action.admin,TranslateLanguageContentToLanguageRequest,0,17,0,0,0,8,0,5,0,5
service.api,com.hack23.cia.service.api.action.admin,UpdateSearchIndexResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.admin,UpdateApplicationConfigurationResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.admin,TranslateLanguageContentToLanguageResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.user,DocumentWordCountRequest,0,24,0,0,0,11,0,7,0,7
service.api,com.hack23.cia.service.api.action.user,SetGoogleAuthenticatorCredentialRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.user,SearchDocumentResponse,7,33,1,1,1,12,1,7,0,7
service.api,com.hack23.cia.service.api.action.user,DocumentWordCountResponse,0,11,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.user,SetGoogleAuthenticatorCredentialResponse,7,40,1,1,1,15,1,9,0,9
service.api,com.hack23.cia.service.api.action.user,SearchDocumentRequest,0,24,0,0,0,11,0,7,0,7
service.api,com.hack23.cia.service.api.action.application,CreateApplicationSessionResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.application,CreateApplicationEventResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.application,RegisterUserRequest,0,45,0,0,0,20,0,13,0,13
service.api,com.hack23.cia.service.api.action.application,LogoutResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.application,CreateApplicationSessionRequest,0,45,0,0,0,20,0,13,0,13
service.api,com.hack23.cia.service.api.action.application,CreateApplicationEventRequest,0,75,0,0,0,33,0,22,0,22
service.api,com.hack23.cia.service.api.action.application,LogoutRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.application,DestroyApplicationSessionResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.application,DestroyApplicationSessionRequest,0,10,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.application,RegisterUserResponse,0,11,0,0,0,5,0,3,0,3
service.api,com.hack23.cia.service.api.action.application,LoginResponse,4,0,0,0,2,0,1,0,1,0
service.api,com.hack23.cia.service.api.action.application,LoginRequest,0,31,0,0,0,14,0,9,0,9
service.api,com.hack23.cia.service.api.action.common,AbstractResponse,18,6,0,0,4,3,4,1,4,1
service.api,com.hack23.cia.service.api.action.common,AbstractRequest,15,3,0,0,3,2,3,1,3,1
service.api,com.hack23.cia.service.api.action.common,ServiceResponse.ServiceResult,38,0,0,0,3,0,4,0,4,0
service.api,com.hack23.cia.service.api,DataSummary,24,0,0,0,9,0,1,0,1,0
