GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenBallotApiImpl,285,0,20,0,63,0,17,0,7,0
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenPersonApiImpl,58,0,0,0,15,0,4,0,4,0
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenCommitteeProposalApiImpl,35,0,0,0,9,0,3,0,3,0
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenDocumentApiImpl,322,0,10,0,70,0,17,0,12,0
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.api,DocumentTypeNames,366,0,0,0,35,0,6,0,6,0
service.component.agent.impl/service.external.riksdagen,com.hack23.cia.service.external.riksdagen.api,DataFailureException,4,0,0,0,2,0,1,0,1,0
service.component.agent.impl/service.external.esv,com.hack23.cia.service.external.esv.impl,EsvExcelReaderImpl,246,0,28,0,57,0,24,0,10,0
service.component.agent.impl/service.external.esv,com.hack23.cia.service.external.esv.impl,EsvApiImpl,214,0,36,0,46,0,27,0,9,0
service.component.agent.impl/service.external.esv,com.hack23.cia.service.external.esv.api,GovernmentBodyAnnualSummary,84,0,0,0,27,0,15,0,15,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.impl,AbstractWorldBankApiImpl,6,0,0,0,3,0,2,0,2,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.impl,WorldbankIndicatorApiImpl,71,0,2,0,14,0,4,0,3,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.impl,WorldbankDataApiImpl,38,0,0,0,8,0,3,0,3,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.impl,WorldbankTopicApiImpl,28,0,0,0,8,0,3,0,3,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.impl,WorldbankCountryApiImpl,28,0,0,0,8,0,3,0,3,0
service.component.agent.impl/service.external.worldbank,com.hack23.cia.service.external.worldbank.api,DataFailureException,4,0,0,0,2,0,1,0,1,0
service.component.agent.impl/service.external.val,com.hack23.cia.service.external.val.impl,ValApiImpl,160,0,0,0,39,0,8,0,8,0
service.component.agent.impl/service.external.val,com.hack23.cia.service.external.val.api,ValApiException,4,0,0,0,2,0,1,0,1,0
