GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen,RiksdagenApiAgentWorkConsumerImpl,57,0,4,0,18,0,5,0,3,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenDocumentListWorkGeneratorImpl,75,0,2,0,17,0,4,0,3,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenDocumentContentWorkGeneratorImpl,44,0,4,0,15,0,5,0,3,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenPersonsWorkGeneratorImpl,123,0,10,0,25,0,9,0,4,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenCommitteeProposalWorkGeneratorImpl,61,0,4,0,18,0,5,0,3,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenDocumentStatusWorkGeneratorImpl,72,0,4,0,22,0,5,0,3,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,AbstractRiksdagenDataSourcesWorkGenerator,20,0,2,0,6,0,5,0,4,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenBallotListWorkGeneratorImpl,51,0,4,0,16,0,5,0,3,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator.data,RiksdagenImportServiceImpl,245,0,30,0,50,0,32,0,17,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workers,WorldbankCountryElementWorkConsumerImpl,21,0,0,0,9,0,3,0,3,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workers,WorldbankIndicatorElementWorkConsumerImpl,21,0,0,0,9,0,3,0,3,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workers,WorldbankDataWorkConsumerImpl,33,0,0,0,10,0,3,0,3,0
