GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen,RiksdagenApiAgentWorkConsumerImpl,45,12,4,0,14,4,3,2,1,2
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenDocumentListWorkGeneratorImpl,5,70,0,2,2,15,0,4,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenDocumentContentWorkGeneratorImpl,5,39,0,4,2,13,0,5,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenPersonsWorkGeneratorImpl,5,118,0,10,2,23,0,9,0,4
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenCommitteeProposalWorkGeneratorImpl,5,56,0,4,2,16,0,5,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenDocumentStatusWorkGeneratorImpl,5,67,0,4,2,20,0,5,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,AbstractRiksdagenDataSourcesWorkGenerator,8,12,2,0,1,5,2,3,1,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator,RiksdagenBallotListWorkGeneratorImpl,43,8,4,0,13,3,3,2,1,2
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workgenerator.data,RiksdagenImportServiceImpl,71,174,13,17,14,36,12,20,3,14
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workers,WorldbankCountryElementWorkConsumerImpl,0,21,0,0,0,9,0,3,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workers,WorldbankIndicatorElementWorkConsumerImpl,0,21,0,0,0,9,0,3,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workers,WorldbankDataWorkConsumerImpl,0,33,0,0,0,10,0,3,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.command,DataAgentApiImpl,5,65,1,6,2,15,1,7,0,4
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.command,DataAgentApiImpl.new Object() {...},2,17,0,0,0,1,0,1,0,1
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank,WorldBankApiAgentWorkConsumerImpl,45,12,4,0,14,4,3,2,1,2
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workers,RiksdagenDocumentStatusContainerWorkConsumerImpl,5,19,0,0,2,8,0,3,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workers,RiksdagenDocumentElementWorkConsumerImpl,8,13,0,0,2,7,0,3,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workers,RiksdagenLoadDocumentWorkConsumerImpl.DocumentElementWorkProducer,21,0,0,0,6,0,2,0,2,0
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workers,RiksdagenPersonElementWorkConsumerImpl,6,19,0,0,3,8,0,3,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workers,RiksdagenVoteDataWorkConsumerImpl,8,33,0,0,2,10,0,3,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workers,RiksdagenLoadDocumentWorkConsumerImpl,18,13,0,0,3,7,0,3,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workers,RiksdagenCommitteeProposalComponentDataWorkConsumerImpl,0,24,0,0,0,11,0,3,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workers,LoadDocumentWork,6,9,0,0,2,4,2,1,2,1
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workers,RiksdagenDocumentContentWorkConsumerImpl,3,21,0,0,2,9,0,3,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.val,ValImportServiceImpl,16,18,1,1,5,7,1,3,0,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.val,ValImportServiceAutoLoadAtStartup,0,7,0,0,0,4,0,2,0,2
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.common.jms,JmsSenderImpl,0,12,0,0,0,3,0,2,0,2
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.common.jms,ProducerMessageFactory,0,11,0,0,0,4,0,2,0,2
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workers.data,WorldbankUpdateServiceImpl,0,27,0,8,0,11,0,8,0,4
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workgenerator,WorldBankIndicatorWorkGeneratorImpl,37,8,4,0,11,4,3,2,1,2
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workgenerator,WorldBankCountryWorkGeneratorImpl,44,8,8,0,10,4,5,2,1,2
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workgenerator,WorldBankDataWorkGeneratorImpl,5,106,2,10,2,21,2,8,0,4
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workgenerator,AbstractWorldBankDataSourcesWorkGenerator,8,12,2,0,1,5,2,3,1,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.riksdagen.workers.data,RiksdagenUpdateServiceImpl,48,20,10,2,13,7,10,3,4,3
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.worldbank.workgenerator.data,WorldbankImportServiceImpl,0,86,0,8,0,20,0,10,0,6
service.component.agent.impl,com.hack23.cia.service.component.agent.impl.common,AbstractAgentWorkConsumerImpl,0,3,0,0,0,1,0,1,0,1
