GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.data.impl,com.hack23.cia.service.data.impl.util,LoadHelper,106,31,21,5,25,10,17,2,4,2
service.data.impl,com.hack23.cia.service.data.impl,DataDAOImpl,87,4,4,0,15,2,3,1,1,1
service.data.impl,com.hack23.cia.service.data.impl,SearchIndexerImpl,0,23,1,1,0,7,1,3,0,3
service.data.impl,com.hack23.cia.service.data.impl,ApplicationConfigurationDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,PersonDataDAOImpl,21,4,0,0,4,2,1,1,1,1
service.data.impl,com.hack23.cia.service.data.impl,LegacyNamingStrategy,0,35,1,3,0,10,1,8,0,7
service.data.impl,com.hack23.cia.service.data.impl,UserDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,AgencyDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,IndicatorElementDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,CountryElementDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,AbstractGenericDAOImpl,326,148,13,3,63,34,23,10,16,9
service.data.impl,com.hack23.cia.service.data.impl,DataViewerImpl,328,264,18,10,60,61,19,14,7,12
service.data.impl,com.hack23.cia.service.data.impl,DocumentElementDAOImpl,127,76,4,2,33,13,7,3,4,3
service.data.impl,com.hack23.cia.service.data.impl,ApplicationActionEventDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,CommitteeProposalComponentDataDAOImpl,69,4,2,0,16,2,3,1,2,1
service.data.impl,com.hack23.cia.service.data.impl,LanguageContentDataDAOImpl,21,87,0,2,5,20,1,3,1,2
service.data.impl,com.hack23.cia.service.data.impl,SwedenPoliticalPartyDAOImpl,30,4,0,0,7,2,1,1,1,1
service.data.impl,com.hack23.cia.service.data.impl,QueryHelper,3,27,0,2,1,6,1,2,1,1
service.data.impl,com.hack23.cia.service.data.impl,VoteDataDAOImpl,55,4,0,0,10,2,2,1,2,1
service.data.impl,com.hack23.cia.service.data.impl,ApplicationSessionDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,LanguageDataDAOImpl,21,4,0,0,5,2,1,1,1,1
service.data.impl,com.hack23.cia.service.data.impl,DataSearchMappingFactory,0,103,0,0,0,11,0,2,0,2
service.data.impl,com.hack23.cia.service.data.impl,ApplicationConfigurationServiceImpl,44,43,1,1,13,5,1,2,0,2
service.data.impl,com.hack23.cia.service.data.impl,ViewRiksdagenMinistryDAOImpl,30,4,0,0,7,2,1,1,1,1
service.data.impl,com.hack23.cia.service.data.impl,ViewDataManagerImpl,0,124,0,0,0,42,0,2,0,2
service.data.impl,com.hack23.cia.service.data.impl,LanguageContentServiceImpl,0,40,0,2,0,8,0,3,0,2
service.data.impl,com.hack23.cia.service.data.impl,DocumentStatusContainerDAOImpl,89,4,0,0,19,2,3,1,3,1
service.data.impl,com.hack23.cia.service.data.impl,ViewRiksdagenCommitteeDAOImpl,30,4,0,0,7,2,1,1,1,1
service.data.impl,com.hack23.cia.service.data.impl,DocumentContentDataDAOImpl,65,4,2,0,15,2,3,1,2,1
service.data.impl,com.hack23.cia.service.data.impl.liquidbase,SpringLiquidBaseFailSafe,16,11,2,0,5,6,1,3,0,3
