GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.impl/service.api,com.hack23.cia.service.api.action.admin,UpdateApplicationConfigurationRequest,52,0,0,0,23,0,15,0,15,0
service.impl/service.api,com.hack23.cia.service.api.action.admin,RefreshDataViewsRequest,10,0,0,0,5,0,3,0,3,0
service.impl/service.api,com.hack23.cia.service.api.action.admin,UpdateLanguageContentDataRequest,24,0,0,0,11,0,7,0,7,0
service.impl/service.api,com.hack23.cia.service.api.action.admin,UpdateLanguageContentDataResponse,4,0,0,0,2,0,1,0,1,0
service.impl/service.api,com.hack23.cia.service.api.action.admin,RefreshDataViewsResponse,4,0,0,0,2,0,1,0,1,0
service.impl/service.api,com.hack23.cia.service.api.action.admin,SendEmailResponse,4,0,0,0,2,0,1,0,1,0
service.impl/service.api,com.hack23.cia.service.api.action.admin,UpdateSearchIndexRequest,10,0,0,0,5,0,3,0,3,0
service.impl/service.api,com.hack23.cia.service.api.action.admin,SendEmailRequest,31,0,0,0,14,0,9,0,9,0
service.impl/service.api,com.hack23.cia.service.api.action.admin,TranslateLanguageContentToLanguageRequest,17,0,0,0,8,0,5,0,5,0
service.impl/service.api,com.hack23.cia.service.api.action.admin,UpdateSearchIndexResponse,4,0,0,0,2,0,1,0,1,0
service.impl/service.api,com.hack23.cia.service.api.action.admin,UpdateApplicationConfigurationResponse,4,0,0,0,2,0,1,0,1,0
service.impl/service.api,com.hack23.cia.service.api.action.admin,TranslateLanguageContentToLanguageResponse,4,0,0,0,2,0,1,0,1,0
service.impl/service.api,com.hack23.cia.service.api.action.user,DocumentWordCountRequest,24,0,0,0,11,0,7,0,7,0
service.impl/service.api,com.hack23.cia.service.api.action.user,SetGoogleAuthenticatorCredentialRequest,10,0,0,0,5,0,3,0,3,0
service.impl/service.api,com.hack23.cia.service.api.action.user,SearchDocumentResponse,40,0,2,0,13,0,8,0,7,0
service.impl/service.api,com.hack23.cia.service.api.action.user,DocumentWordCountResponse,11,0,0,0,5,0,3,0,3,0
service.impl/service.api,com.hack23.cia.service.api.action.user,SetGoogleAuthenticatorCredentialResponse,47,0,2,0,16,0,10,0,9,0
