GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.impl,com.hack23.cia.service.impl,ConfigurationManagerImpl,110,80,12,12,21,18,9,9,1,5
service.impl,com.hack23.cia.service.impl,SecurityAuthenticationProvider,6,3,0,0,2,1,2,1,2,1
service.impl,com.hack23.cia.service.impl,UserConfigurationImpl,0,21,0,0,0,8,0,4,0,4
service.impl,com.hack23.cia.service.impl,ViewDataDataContainerFactoryImpl,22,99,0,0,3,15,3,14,3,14
service.impl,com.hack23.cia.service.impl,GenericDataContainer,17,108,0,0,2,16,2,13,2,13
service.impl,com.hack23.cia.service.impl,ApplicationManagerImpl,23,75,3,7,6,19,4,7,2,4
service.impl,com.hack23.cia.service.impl,DataSummaryDataContainer,48,52,0,0,12,8,12,3,12,3
service.impl,com.hack23.cia.service.impl,BootstrapDefaultConfig,0,36,0,0,0,13,0,4,0,4
service.impl,com.hack23.cia.service.impl,ViewRiksdagenCommitteeDataContainer,51,33,1,3,12,8,12,5,11,4
service.impl,com.hack23.cia.service.impl,DataAgentContainerImpl,5,3,0,0,2,2,1,1,1,1
service.impl,com.hack23.cia.service.impl.action.user.wordcount,WordCounterImpl.new StopwordsHandler() {...},0,14,0,2,0,2,0,3,0,2
service.impl,com.hack23.cia.service.impl.action.user.wordcount,WordCounterImpl,7,121,0,2,2,31,0,4,0,3
service.impl,com.hack23.cia.service.impl.action.common,AbstractBusinessServiceImpl,0,29,2,4,0,12,2,4,0,3
service.impl,com.hack23.cia.service.impl.action.user,SearchDocumentService,51,85,6,2,8,19,4,3,0,3
service.impl,com.hack23.cia.service.impl.action.user,SetGoogleAuthenticatorCredentialService,0,120,1,1,0,29,1,3,0,3
service.impl,com.hack23.cia.service.impl.action.user,DocumentWordCountService,10,74,2,2,2,19,2,3,0,3
service.impl,com.hack23.cia.service.impl.action.application,RegisterUserService,17,184,5,5,3,39,5,3,0,3
service.impl,com.hack23.cia.service.impl.action.application,LogoutService,5,83,1,1,1,24,1,3,0,3
service.impl,com.hack23.cia.service.impl.action.application,DestroyApplicationSessionService,10,37,1,1,2,10,1,3,0,3
service.impl,com.hack23.cia.service.impl.action.application,CreateApplicationEventService,0,96,0,6,0,23,0,5,0,2
service.impl,com.hack23.cia.service.impl.action.application,LoginService,28,148,9,7,7,32,7,5,0,4
service.impl,com.hack23.cia.service.impl.action.application,CreateApplicationSessionService,0,62,0,0,0,17,0,3,0,3
service.impl,com.hack23.cia.service.impl.email,EmailServiceImpl,4,308,1,1,1,40,1,5,0,5
service.impl,com.hack23.cia.service.impl.action.admin,SendEmailService,12,57,1,1,2,15,1,3,0,3
service.impl,com.hack23.cia.service.impl.action.admin,UpdateSearchIndexService,24,52,1,1,6,17,1,3,0,3
service.impl,com.hack23.cia.service.impl.action.admin,UpdateApplicationConfigurationService,5,87,1,3,1,24,1,3,0,2
service.impl,com.hack23.cia.service.impl.action.admin,RefreshDataViewsService,4,47,1,1,1,14,1,2,0,2
service.impl,com.hack23.cia.service.impl.action.application.translation,TranslationException,5,0,0,0,2,0,1,0,1,0
service.impl,com.hack23.cia.service.impl.action.application.translation,TranslationServiceImpl,113,7,4,0,22,3,3,2,1,2
